anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	16	3a7444c5fff0b027563db0c849276b8dcaaac3ccc56c82060d38fd97ee83cccf	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2c0d3a3c1430b648914069005f89f9330dc0dff7477ce7b5bad2a117cd457aaf		s000001		{}
s000001	s	0	16	3a7444c5fff0b027563db0c849276b8dcaaac3ccc56c82060d38fd97ee83cccf	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2c0d3a3c1430b648914069005f89f9330dc0dff7477ce7b5bad2a117cd457aaf	p000001	p000002		{}
p000002	p	17	34	46f04de37bcec6ea6ebf06068d162c061bedbc4d5df09ff35e5650e7f8455522	bed5ceb33dfa39c6292cb4953b63e123e8eb82949730535efd120209619aa9d2	bb69fd5f9d0195a37de09838701d612140013766af5c21f1a0517336eded0839	s000001	s000002		{}
s000002	s	17	34	46f04de37bcec6ea6ebf06068d162c061bedbc4d5df09ff35e5650e7f8455522	bed5ceb33dfa39c6292cb4953b63e123e8eb82949730535efd120209619aa9d2	bb69fd5f9d0195a37de09838701d612140013766af5c21f1a0517336eded0839	p000002	p000003		{}
p000003	p	35	47	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	41425d99d934591f6e357e8c472964e6b7d005dd3322ee7a7d538cd44aebec18	a9fec068b610eef4cdea8d0c91b976e7d3960671a9ca84c85d728c9c2c4cbd15	s000002	s000003		{}
s000003	s	35	47	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	41425d99d934591f6e357e8c472964e6b7d005dd3322ee7a7d538cd44aebec18	a9fec068b610eef4cdea8d0c91b976e7d3960671a9ca84c85d728c9c2c4cbd15	p000003	p000004		{}
p000004	h	48	104	52acbd271f3972b9baa2b504dfd969ccb303c8385f96f45643dc4fcd90ddc159	6f45007da441058376232aa6b5a84db6b49650a0278a32c34a4de660d70fa438	5a9bf5d28344793347bf5ebb483e426722057363f6b5416678016bbc11327ae3	s000003	s000004		{}
s000004	s	48	104	52acbd271f3972b9baa2b504dfd969ccb303c8385f96f45643dc4fcd90ddc159	6f45007da441058376232aa6b5a84db6b49650a0278a32c34a4de660d70fa438	5a9bf5d28344793347bf5ebb483e426722057363f6b5416678016bbc11327ae3	p000004	p000005	p000004	{}
p000005	p	105	1270	c0824445bcf658cfc55827a25a3a1dd157d7c9e91689faa367fc7034a5e504a7	0dd45a3084fab8027a8cd46c8b91bdd3641a46bd942422a4d5a6148d215c22be	6285e2f4bd66909c93195651a1191b2c73f9fb45f2dd7b560ede11448dcaff44	s000004	s000005	p000004	{}
s000005	s	105	546	5f184baeb256d0edfc77533a392cc5a16427c2e665a173f27e25c9bccd5a2078	0dd45a3084fab8027a8cd46c8b91bdd3641a46bd942422a4d5a6148d215c22be	39a5abbfbb931c411944dac91e4ff3a05585c4f0da9aa35629a25551d909643d	p000005	s000006	p000004	{}
s000006	s	547	1134	63ef725ad2dc3301623284c36fe6223601bad714529d04aa56cfc13094e2aa84	1f5c6d86fd7a6a7b0df76585e66ba43b187b562bf3510f11d89fcbcc503d0cc6	f6383146aecca44ca9ee7f559a9c4e80c15c8ede000e2a13e553d8a50c383935	s000005	s000007	p000004	{}
s000007	s	1135	1270	802bb262dae9e6d47b0fab81597c437deb3e2b93c73929cc6f3912439d6d2fb5	64c17aaf166953932e9e731325823f9da4f89196a54d5fb4c7cf8d6eb3fe1a5a	6285e2f4bd66909c93195651a1191b2c73f9fb45f2dd7b560ede11448dcaff44	s000006	p000006	p000004	{}
p000006	h	1271	1279	eb1352613f6b1f92be8379b615ec782f784d20f5cbe9c138c65ad6732471d6e3	816b416e6e36d891b29b7fe58268cb241245f9d8e0fd4d7f1b1ff607beba1ae6	0adcb7b295f4809cadb8bdc65b978ea9d75e4f1fb431bb42a06f39bf538dfdf0	s000007	s000008		{}
