anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
t01r01c01	t	20	27	5244b0f12c0c91c79781b136aa6d08faafaca845406b7bc62078e8864f433f65	087197cf7aa7278f4963656d80847f9cd82fc6f49f80ce23b3aca8a4aefdcf4e	da56b677058e103ac0bd71cc5232bcdc7d94af43af8acfc6d7de1722e26f5e48		t01r02c01		"{""table_index"":""1"",""row_index"":""1"",""col_index"":""1"",""row_header"":""TABLE""}"
t01r02c01	t	50	51	19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7	af2af8137a55c5e744dfda31a83d80b7004a3d4c58d48aab3d55aa8876103131	86051a7d15693fce5a40ce1d8b088e11fc1741bf1d3faf17c1241a59a0f9b564	t01r01c01	t01r03c01		"{""table_index"":""1"",""row_index"":""2"",""col_index"":""1"",""row_header"":""ARTICLE""}"
t01r03c01	t	77	78	6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b	49dee6ee520612b8c8f32d3e46b3d9c17356ef4d7701af834161ae02c839de69	f2c53b1aa4261746aa4abf0ddf34f94b572cc35a8854053d880fb8e577da755c	t01r02c01	t01r04c01		"{""table_index"":""1"",""row_index"":""3"",""col_index"":""1"",""row_header"":""MULTIPLIER""}"
t01r04c01	t	97	107	236c8ab950a403bf1a9ea2e70aa78f6ab83fddaf12556345b554d7b44191914b	65f217bcb4f4be954428aa1edfa50045f032b2d4f3c8418fcf8f15c2ae069750	8a2844759d0a2e533d64fbd0741c18921d4e5422263f48836b438292308ed7ab	t01r03c01	t01r05c01		"{""table_index"":""1"",""row_index"":""4"",""col_index"":""1"",""row_header"":""CIK""}"
t01r05c01	t	127	147	9676e9c60f478a14c441227b742d133a7c420938a8ad50179adfabbbce4585db	74125c39a596c5a2bab241c3aa8829d3623eff2718ae5d9ecb71cc5e3daa7a6d	75233826aca46ebd1f46fa837d55eff618b3387144eb3588bb344f01f4aa051e	t01r04c01	t01r07c01		"{""table_index"":""1"",""row_index"":""5"",""col_index"":""1"",""row_header"":""NAME""}"
t01r07c01	t	164	167	632c80ac673391d4a4ca803ca4f2151ef4a23a4936226811ae3e6c9d5193f052	1ff9bcceecb2bab14b29552af2ca87ff2bc8864724648aebcf70fe1cbcbcf883	c1bd69bab93c48a100864e6c85d6ae1c6cf92bab77022890003996a3f4cd3e9e	t01r05c01	t01r08c01		"{""table_index"":""1"",""row_index"":""7"",""col_index"":""1"",""row_header"":""S""}"
t01r08c01	t	194	199	00797dd29604cca54c62c13c662f5499ebe01b2f9abfdb9195f40d631d248ed9	9d4b1221865f4067808c74da6e58952992d98d6bfb3ce16ac1ed8b208ea8c2bc	2a3c274a86bdf4261e622eb2e3f928f21c9ca1f3e5a39e92dd2722917e450356	t01r07c01	t01r09c01		"{""table_index"":""1"",""row_index"":""8"",""col_index"":""1"",""row_header"":""PERIOD-TYPE""}"
t01r09c01	t	230	241	cfd04a8f58eff6d4b8a90aa3f26dd6e6f381b2fb2a0aa47db02d709bf30bd63f	b8a441399c1d7f7a3942928a49cf3e92d9a4658565c6f4cc4ea144aee05734be	801751b734e2eebf10edac8c5a715a3d7f09c01dca9319961f19202836a0b959	t01r08c01	t01r10c01		"{""table_index"":""1"",""row_index"":""9"",""col_index"":""1"",""row_header"":""FISCAL-YEAR-END""}"
t01r10c01	t	269	280	a2838bb9bfac43775b766e1a9ca077144df41f2ea0cbe3c6875550e9b0588ffc	7de65060e18d53be2c4be44ab6b16aae9063ce909a1c756c321cf6801a47e01d	c31148a770ef74169b7917263f705a7b494cb6ab36a2d47a39892f851ebda1bc	t01r09c01	t01r11c01		"{""table_index"":""1"",""row_index"":""10"",""col_index"":""1"",""row_header"":""PERIOD-START""}"
t01r11c01	t	306	317	8141351e7a87a9374b7ec80d6ad7b0dfbcd18d475144b8a9a20be74f625b9522	4942171cd6607a9166bd368e96572339f5de50a87afc2228138fbfa9ca4cf5cf	7426ae4c0844120a7dffe4ac0663a945fffb9c237b0313b6c4e71bbee1b5702d	t01r10c01	t01r12c01		"{""table_index"":""1"",""row_index"":""11"",""col_index"":""1"",""row_header"":""PERIOD-END""}"
