anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	12	73b458decc75571a1540f96af35c7afbf80c5ed34fec8772260e5ea8d39a5c79	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7e9208fe79d260fdaa30170580a76cfadecec58db3d064388d3aae3c1708837b		s000001		{}
s000001	s	0	12	73b458decc75571a1540f96af35c7afbf80c5ed34fec8772260e5ea8d39a5c79	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7e9208fe79d260fdaa30170580a76cfadecec58db3d064388d3aae3c1708837b	p000001	p000002		{}
p000002	p	13	3684	05445514a88bdc353042ae53bf8922e5c344c4d903a8ab386bb3c45824bebe3c	3fa0e5f4e0617cbb5ea7fce7191d3a8e55cccc0604650513b142765a31251405	46040ad37a05ea5d73e627e05929d00aec18ae3a170cb42daf375d950d93e2d0	s000001	s000002		{}
s000002	s	13	194	c897b05095dd5a163b4bc64bf06046dfcbabe555f22d35452fa6dfa7cc594ffe	3fa0e5f4e0617cbb5ea7fce7191d3a8e55cccc0604650513b142765a31251405	730e37b2aa5523cd7dc60e88ac7489df05310a9d7710454dd04f5c055329fabe	p000002	s000003		{}
s000003	s	194	196	acbbb708385721a6275edb28b2265071ab2c596d66c45e0f095ca22a55c6fb7d	d548123ed671f30d9c90453f26601600955af9f424f4e6545a5bb1edaa57f70c	3a8db951f63143c4c650466992f6c1c9a708ad8dd09fe22bfc2f5aed92462a30	s000002	s000004		{}
s000004	s	197	532	62b4eef1675150398bbf341866e81cbc538e0a0cdb52620c30cb275a30576cf9	b48160761bff7829790869a326be4cafefd834b93784f6ce267ec1fbec6f9b1d	c15d308a295e64fe56bb7ded72e11d83d5dc125e8fe01dcb74c8ed996d18ffff	s000003	s000005		{}
s000005	s	532	534	43e7606a09245b2593ed9498552347047ba16e995634a5e0c3e0e98ca27b6e6f	0bfe95c90783259b6d3f9f761509a4287dc8ce85d08e06686a19bddd144b5607	ab4a11a8160720deb05c064e53f67b5512d2012b3daf39089c6058cedc771938	s000004	s000006		{}
s000006	s	534	536	7a089e1bba580bc60647d5db58aef0eaaaa723ab6a855b449610984ad6c8b637	90b3da5ad242891ee5dc1d74ac37c67106a51ec2c0e8efd99a41e7e798b3cf25	ce6a9d3e284feaa5d89b91c265778046e214b89f9562d83f1ac5fb932229e252	s000005	s000007		{}
s000007	s	537	992	4b13b8a30973d008d27cab9c93317c88b359cd2054dfeddf4cbc22429e8a4f9e	e79ca815070e3c2112873882aa94eba5de2cc23b445a5b6f40ce25d9258964a7	3e8baa4f6456aab777be08a24067c6b528416b894bfc09a33155194b73f8624d	s000006	s000008		{}
s000008	s	993	1025	8eb042b3c2e23c757629db8f018593ca4da87a3579bbd7c3a5c2c0390a8c4da7	26c9b798e2cf1ece569db7f9eaa3734b48e93374ffc81dc8650e8163aa662a12	1167f676ec56b59f7d17f189d8718db3b14ed2431475dc4ac2ea214a353745e1	s000007	s000009		{}
s000009	s	1026	1426	7ce3f732dda196ba11f4e0004c594c9c35cef9f8eef75c54e2706c6a85014c28	8e49f0e8231df1d1dd6ab7a62e43823d36ea646535cf1b415779d75e6ce5da42	9c270ff08eb0913c15c4007310f33c7792e63ee80714fe41012a4b0f2a897507	s000008	s000010		{}
s000010	s	1427	1611	86bf88495e4db561e847a849c4af97422ff927ff830a555b86007a930773962c	f9572be9f0b3d15f8af9a68450551d7ad845368426c83dc4285e4523be53666e	2b63cd561695000b4d496f327c16e8bf1792e4b7f25be047aecc844d0846a778	s000009	s000011		{}
s000011	s	1612	1888	43b15ae208b122796e154b4c4e1f646f24fc3a6fb38654b7a658dcc4f3ab8bdf	b3803ec5ad2907bcb8174aa41b14e0e6d597bf4b43ca2a6bbe3499a72be044db	e18deef063c69d60cae6ad3244447199be5f013d23f7fb26d0c5dcb28187f653	s000010	s000012		{}
s000012	s	1889	2142	d228b5cbd2bebd7a3041bef1b4261c8272e090ee9b911897af6690ec3320cfe1	d586e4cc0f3d01ea28046a58d0de70abe0bc01e04fe14a16321c889d7007a103	5eae195457ffd0eddd1d1f4d95b7d799e97b3b14ac1814d63698229686ca0a96	s000011	s000013		{}
s000013	s	2143	2396	0b29dca47680cf8c3b058902c3b6cdb698a3bbced77d693bf0fbd66328c25bda	d586e4cc0f3d01ea28046a58d0de70abe0bc01e04fe14a16321c889d7007a103	9b48cecbd408a844194dda44b90aaf1d99cddbaa2292e7c2b56de6366e9ff0ea	s000012	s000014		{}
s000014	s	2397	2581	f50a2501aba2ab0edb31bb9f31fbd816044dadd48f1d498d3db77d001e6341bf	d586e4cc0f3d01ea28046a58d0de70abe0bc01e04fe14a16321c889d7007a103	ca311f102f8711afe50d5d0cca0eabfc99f5a923179c071554f8524cc076157d	s000013	s000015		{}
