anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	262	e089f3a753e6f5462ba8f23d048c012b77dbc2baedf3584cf944bff353e01a6c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2e0f541dfa142d15e23474ef057483fc589693d68e41b364eadbe0134228e03d		s000001		{}
s000001	s	0	90	831eb973e38b7d9cd9e5b332eff3c76e8402aa05332cab9fad34fc3acd739cc5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d06b34d6de95f5eb9394b54da7387fe8d9b2c78911ec0610646d5fe86ebd55bf	p000001	s000002		{}
s000002	s	91	262	21435242efa7fa2ad870190e73f7e4576e320aa8ef20eac46e01bb5217a28388	125af5cb1ba7d8054b64653c7eb29b095304994f524b6eebd3b51552e6f9565e	2e0f541dfa142d15e23474ef057483fc589693d68e41b364eadbe0134228e03d	s000001	p000002		{}
p000002	p	263	306	99a61914583951174a8ffae6bea46ca41dcdc198332cac81df6c3b4271a837a8	00c0691e364a188c0bba13fad7c7b0acee42a5a171a5bd34bdb926448e256408	e14f43f9b3c16728af36fe57158ff01f3d18aa6e635ac735dd65b6ce856ed7f0	s000002	s000003		{}
s000003	s	263	306	99a61914583951174a8ffae6bea46ca41dcdc198332cac81df6c3b4271a837a8	00c0691e364a188c0bba13fad7c7b0acee42a5a171a5bd34bdb926448e256408	e14f43f9b3c16728af36fe57158ff01f3d18aa6e635ac735dd65b6ce856ed7f0	p000002	t01r01c01		{}
t01r01c01	t	394	411	9fa470be2f14b2ef0c6ac48535a44f07a17b2c7f59d527fb672a1b23005a73d7	bc6f9872605c220e55571ca1c81b5ebd4b6832b1dd763396a08f6abe9549d182	e6d9bb7579bba9921d547eec7c2013178cc6334acaa65d6f84cbcf82f0d04058	s000003	t01r01c02		"{""table_index"":""1"",""row_index"":""1"",""col_index"":""1"",""row_header"":""January\u00a0\u00a0\u00a0\u00a0, 2020"",""col_header"":""January\u00a0\u00a0\u00a0\u00a0, 2020""}"
t01r01c02	t	555	628	feb6f5e48c7048f85cbbcb3b25e457e45368b6e07c3f0898655769070756f6dd	1aa5b61196245f7c659e7d14acfd3b1ddfbb53d462954fe95ef5223d06806aa6	2b6afebd9119f80330464fb1b7f413fc4f9ab3d6579dff123490435f3762f112	t01r01c01	p000003		"{""table_index"":""1"",""row_index"":""1"",""col_index"":""2"",""row_header"":""January\u00a0\u00a0\u00a0\u00a0, 2020"",""col_header"":""Registration Statement\n Nos. 333-222672 and 333-222672-01; Rule 424(b)(2)""}"
p000003	p	629	2740	0544199d40539459f3b1356d717c853c19438547e1585b3110f6c71b38d2e4ed	a800bdf77f36611d44d1735ffb64d2ad634554b8cce44e318d4ddc660a5f1c48	4f8222254338a94362119f606856771dc881a7ecc482280fc926f65f8befc02d	t01r01c02	s000004		{}
s000004	s	629	1237	f64b2a32a10a2ac532bc146609a433ffeeee98d3c055d5ca3dddc45c932a6376	a800bdf77f36611d44d1735ffb64d2ad634554b8cce44e318d4ddc660a5f1c48	6d5415a62be1c4a061f6cfbf1bc0abfd92c61562d42eb3d76ed3981ee763be1f	p000003	s000005		{}
s000005	s	1237	1304	fe02803a097c1ffc62632407ed6dc9d69e1fa8dd1b7092e88a76e3aae67878d4	160d8d27d0af3cb78417812584cf39a808652080bdf0004046a1bbd4e216648a	0eef26c731dad02b28b20f15d6f8e23b1ec6349937877c4d48cfcd02fd32e9d0	s000004	s000006		{}
