anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	12	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	21410af8e0fd25716255d0abd7ad6bb44d119d7e376363e016c78bfce1b3f5e7		s000001		{}
s000001	s	0	12	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	21410af8e0fd25716255d0abd7ad6bb44d119d7e376363e016c78bfce1b3f5e7	p000001	p000002		{}
p000002	h	13	30	6d012cf2b42a6344f9ad485589b303a30cfb343967dc7d82d29da828b6d628a3	f8b0a49f5f4a3998be72f5ee88ccb64a8deb1f5b5e55b4ad999d6b24b1000aa8	fd387e5d97b2bb492ac6ea18f36bc2fbabd83f00e712719833020be8a696332a	s000001	s000002		{}
s000002	s	13	30	6d012cf2b42a6344f9ad485589b303a30cfb343967dc7d82d29da828b6d628a3	f8b0a49f5f4a3998be72f5ee88ccb64a8deb1f5b5e55b4ad999d6b24b1000aa8	fd387e5d97b2bb492ac6ea18f36bc2fbabd83f00e712719833020be8a696332a	p000002	p000003	p000002	{}
p000003	h	31	68	4faa9fca4adb99669c6b4f25f47ea8699da5ca32a333275fe803f77b9fd664b6	96a99e24e8189fbb67df2aeaefe1580b15871d50ef0375406b74666a303ae000	c0344f55d9294fd84930e3b145edc5bd163cba07c7983f1b01cd0325a076abe6	s000002	s000003		{}
s000003	s	31	68	4faa9fca4adb99669c6b4f25f47ea8699da5ca32a333275fe803f77b9fd664b6	96a99e24e8189fbb67df2aeaefe1580b15871d50ef0375406b74666a303ae000	c0344f55d9294fd84930e3b145edc5bd163cba07c7983f1b01cd0325a076abe6	p000003	p000004	p000003	{}
p000004	h	69	100	c3b96032d6d1ec9617b42e3d4c81314f8561895f7ec83594db37eb2ad31a820d	ef52853ed3dccc460cb24be81aeaed6130d28fde7b1c9947e2e274febdab9669	761a8992e64d5e353fc9376473fc1595b4dd6c81ba0e556a9b28c3a244e63103	s000003	s000004		{}
s000004	s	69	100	c3b96032d6d1ec9617b42e3d4c81314f8561895f7ec83594db37eb2ad31a820d	ef52853ed3dccc460cb24be81aeaed6130d28fde7b1c9947e2e274febdab9669	761a8992e64d5e353fc9376473fc1595b4dd6c81ba0e556a9b28c3a244e63103	p000004	p000005	p000004	{}
p000005	p	101	118	8e17a952cbb55c138d06aa0d227b2879c0d85ca0b8254522e96a6bf2d44c7d79	2fddea527e859448065d0d326ba8a4986d07c777d665231bb05ac51c300c20a8	0d6c852da3be29281afc4f726e46fb5606363dbf3a7df7917e9f49ee58c048ce	s000004	s000005	p000004	{}
s000005	s	101	118	8e17a952cbb55c138d06aa0d227b2879c0d85ca0b8254522e96a6bf2d44c7d79	2fddea527e859448065d0d326ba8a4986d07c777d665231bb05ac51c300c20a8	0d6c852da3be29281afc4f726e46fb5606363dbf3a7df7917e9f49ee58c048ce	p000005	p000006	p000004	{}
p000006	p	119	127	040d6ec676397ec0267eb07b17672de7c70e02fdae9ee8e2584873b8d36963ba	1be1cde504bbc6bd2d6043d48de0fcfd22deb726abea345592a4c4fdb029f976	7eb146d7a1b10d519a366dc96fcc370e7eb41b1a76aaa8cb9a285632cb19d47a	s000005	s000006	p000004	{}
s000006	s	119	127	040d6ec676397ec0267eb07b17672de7c70e02fdae9ee8e2584873b8d36963ba	1be1cde504bbc6bd2d6043d48de0fcfd22deb726abea345592a4c4fdb029f976	7eb146d7a1b10d519a366dc96fcc370e7eb41b1a76aaa8cb9a285632cb19d47a	p000006	p000007	p000004	{}
p000007	p	128	143	cf47add2025e1929ceff1d2477bcc9f6e6668604b35a5fd387ffae0b1f4f63ab	037fbda9f2885d7d5fe076897f7e14d2e49fdd68e8239ced3b08e04f7c4cd4f8	c4aec8b17c986cfa6bf60d0a9cc878846e2e27b2dc87fddfebf4c20b2b4ec106	s000006	s000007	p000004	{}
s000007	s	128	143	cf47add2025e1929ceff1d2477bcc9f6e6668604b35a5fd387ffae0b1f4f63ab	037fbda9f2885d7d5fe076897f7e14d2e49fdd68e8239ced3b08e04f7c4cd4f8	c4aec8b17c986cfa6bf60d0a9cc878846e2e27b2dc87fddfebf4c20b2b4ec106	p000007	p000008	p000004	{}
