anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	1750	sentence
A0003	sentence	1751	1996	sentence
A0004	sentence	1997	2813	sentence
A0005	sentence	2815	3039	sentence
A0006	sentence	3040	4105	sentence
A0007	sentence	4106	4187	sentence
A0008	sentence	4188	4430	sentence
A0009	sentence	4431	5047	sentence
A0010	sentence	5048	5703	sentence
A0011	sentence	5704	5885	sentence
A0012	sentence	5887	6063	sentence
A0013	sentence	6064	6653	sentence
A0014	sentence	6654	8942	sentence
A0015	sentence	8944	8979	sentence
A0016	sentence	8980	10013	sentence
A0017	sentence	10014	10457	sentence
A0018	sentence	10458	10723	sentence
A0019	sentence	10724	11398	sentence
A0020	sentence	11399	11426	sentence
A0021	sentence	11427	11683	sentence
A0022	sentence	11684	11726	sentence
A0023	sentence	11727	12436	sentence
A0024	sentence	12438	13007	sentence
A0025	sentence	13008	13217	sentence
A0026	sentence	13218	13239	sentence
A0027	sentence	13240	13564	sentence
A0028	sentence	13565	13587	sentence
A0029	sentence	13588	13987	sentence
A0030	sentence	13988	14397	sentence
A0031	sentence	14398	14439	sentence
A0032	sentence	14440	14709	sentence
A0033	sentence	14710	14851	sentence
A0034	sentence	14852	15155	sentence
A0035	sentence	15156	15180	sentence
A0036	sentence	15181	15414	sentence
A0037	sentence	15415	15631	sentence
A0038	sentence	15633	15796	sentence
A0039	sentence	15797	15904	sentence
