anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	188145	5b341051476cb76950e965e94ee8c64c7ef8fed34286916f5f6efe7fc37dfc9e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		s000001		{}
s000001	s	0	8700	115acca690ecdc383ec950cc05657dd763e6d450f03d63361e91cdc76abd8c64	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	91fa5cbe0eec0f47093c4effcd0d2ce009f6a2b77ad21a0a4ab93c9bd6b86225	p000001	s000002		{}
s000002	s	8701	9811	a42d6b987664095463b33f11d118f345335e228b07cd6b485deb9704d8954ba6	356b61c2f873faf0a9d1f261837af668f225aaa1684ec2ae6e853edccd96916d	362432059be2d11cf9982f22c26e291632dfd318c527ab7a06780a7a0ced27a1	s000001	s000003		{}
s000003	s	9812	9981	83e1adeb0ffbe9fb1bb9d7cf164382a8ba650cdcb11330bcbd1c9d7d31e447c4	d14b2d6aa62ab21289ff41084397a3ec12f30940357fc0f6df85d06c4e79a064	7c69f54dcd984c78994ff3516a571279d7e56a24405b38224ae1d28a44f05b8d	s000002	s000004		{}
s000004	s	9982	10207	c0717f6fbf3cf75f876284eba8772a6bb01491da9bf7e7a8eec2fa264a4f016d	853fc8be062f295e3408fb3a9a1fd70a97de87910a5df8946e79d772344af472	7a850f91c1ea700f91a04cb234d295865073dda5b684142f70a013ba84063949	s000003	s000005		{}
s000005	s	10208	10405	6bc98194c8dff29daf90229a4acc1b80941eb16e83301b44fd82a447318943cf	6f578ece957fbffedbc6d771aeffa182801e7ce7877aa635b4ba039c572244dc	dac008ac4a3ffc1e881f53af64211c7030c210d3811eabbeb78da690592bc685	s000004	s000006		{}
s000006	s	10406	12270	4c13d6193301a4b0b78b4977ce95df6f9717d933e47c8c620e310dbd849da6d1	786bb7cf9f26d3c346bdc681870565178eac4cef55a242a72697ee43bdf2650d	0f92012114bb3579076f36876bad8afd2c7658d68e406368cdae78aab7cb3ebe	s000005	s000007		{}
s000007	s	12271	12393	3ffff085ff40c6f88028bbd0cad514b14e552a650a1eb80b105759c36c581cf8	7eec7ddc57b96434413f1c6664560df1f6c154d22770b3bebbf91408115c1e84	78326fe7a973c28911c6d229e247dd429325d4d17f204a66b934bbdbd68bd76b	s000006	s000008		{}
s000008	s	12394	12505	df2c3fd809c6cd0af1e124664237091aca02d3c74295156508164ed65fa96a94	8c687cbc3b03771f153ca09e0bf6d0a5251de9fdbc8a8f12cd1fc2d54d042855	d219f0c40a6d0d1f1dfe75c53232be5b8c778fc80bf8b919d6fd3175eb7e78f6	s000007	s000009		{}
s000009	s	12506	13167	f1d44ea112623efe6c75bad390691e51313061c68107cb2b5b0577c535341457	4643eab08f06d33c393051a0e5ca71d4c970adb3f6d83f246ce59e8fb7ff9518	73cacfa8dfebe78303e50f1a58652edfba291240d2b64e786370b5467fa9662e	s000008	s000010		{}
s000010	s	13168	13649	c95ba8b3c179abe71d7ab8e5ef82064515b86c2faecb3ee0474bcce95633137f	09afa2de47b4a9edbafcb151722627207899a1628d4433332ff626d533bda13f	3385060214a03372939533c629f47d211b448080b9453029dbc9db8d7d6766d4	s000009	s000011		{}
s000011	s	13650	16773	afc8cc0db27d8deb4727ead9177965dae75466f10454b199ebe41c964cc82e27	a1a454d6e7e27733f5c83ddd859ba78d5d67351bb61c3aad211ae29d07f260c4	27ea8d0c0d8feb00dffcff833867ad53489c8a5f821bce29461d4428ef1252d9	s000010	s000012		{}
s000012	s	16774	17098	098d1e19affa6127644b392db659765c8c57357c5725cd207dae9525e0ed97c1	2e85372c74beaf42422b9a5637dc8909ca8362de7f99749967530d585951adc0	488f9a804f5aab7b782d23c22bb25e2f9dec04d61351939f415ab6fc99c1ec29	s000011	s000013		{}
s000013	s	17099	17977	bc64dd4a457c73ec6f08787e5445c29f4730a48f904cbde2702d316a3450cea6	aed6995793eb877237f4f0a295bfd204b669b0974ef703f44ab9fed0e0968fde	c2e950bd064754c4b0f1555bc8cded186dbc055c023387cf2be0a3060ef741a4	s000012	s000014		{}
s000014	s	17978	18066	bda1cd74595600aed7220e687d718eae9565c35656d39ca8591dbe81ce6d550e	4146ef4c481f4b6124badf04f88cb58d4ce771377c859251a11ce11da21227e0	a61557351483739d6591ddc4929218b5f6cdaa6e9832051262dd57a9b9752e05	s000013	s000015		{}
s000015	s	18067	18220	05928f2d7759802a64d6ff6676fc489ddced3701d85e39aa7937bef5d4e74366	0c2a67762dcbe284dafc8a2aa639454c3054e3fbf37643be227c2daf9d18eeb9	905e857cd14b9f2779029f687aa9df267081a75610282e3d061052fd60045531	s000014	s000016		{}
s000016	s	18221	18673	a95930ef59402031d819c86802891694dc53fd7bd1a26ef67af8e26ed1eb5bba	e5e8c7e131d8c77a795f9f37794de41d7113efe6ecff82ab74a1edc11c9ac40a	3bfea07347352ccdeeccf4f47d85ac728f9ec872487678f31ede2c90d63cba1e	s000015	s000017		{}
s000017	s	18674	19146	5c8142769bddbf476e69fadeb23eea8c10a53961654f39d75e59e741355c5957	ae380d42d0ebe9f89076269b13b7ceefbc27b35e12682ddb39acfa4444ae4bd4	e4b904b3d6883eeafa6c8ba9a67bbacccd0066210989558727341bd081c5b19c	s000016	s000018		{}
s000018	d	19147	19213	e46f7bc751e0319b0bbdde9506906a80dd9321dae1fba67e250af3ad537b1825	879571f558a51d6b29a1319d669ed88607ff009ce6befd668a8c2e522dbe52de	e9e90f48390ca3b6b449846ad61a1cee192b7c2509ff9b44eec64db09e8e2fa9	s000017	s000019		{}
s000019	d	19214	19305	8e1d77a71c662480cc4059ec54d3ee63340682e2e85617a143f975e06b7a9a4b	39e1b623a2f9424d41308af61653216d1af56896e594830b84c2aff62016b258	dfd3286933edb1de8f3c1a69a927c1213fc901edcde5fc798513d61de7cf97e6	s000018	s000020		{}
s000020	d	19306	19410	c4e0de5a1f5fdec0655df3a4be3d296d2ac6f6fdbca76b025bc31360d4fb70d3	691306d11f06bd2c6dc15ec591dc4d65ee4d4f896613cd3e4dfa762b23ab52b1	627c9c8bc733e335c4a7b8b2a341ad11476ae2ccbcd89b011e4be42659915abf	s000019	s000021		{}
s000021	d	19411	19530	a6c3247ceb83a6f72206f66da43490c0659a7eaf1ab254b401b13939c1655786	dfb4ca743b4e60db6a5ff0f3b37548f771c300cdcdb2d4bb8bb67b2e8d0d9b05	3b38e8d9774405995b33b5d28b29fd53a6d18d7ebe4f252cf2cafcf13fa49b36	s000020	s000022		{}
s000022	d	19531	19604	84e1cea9986ef1ee04ddd2b796dd38db7310135beaf07b686bdc9aabc00a1e09	b7b4d2265110764919fb9fad1144c3f450cd7a2f115df0401b54f637de86bef4	16418a894c2c101b78310a0d07789b31b0d2eefaac0be4bb9d2168e40d489280	s000021	s000023		{}
s000023	s	19605	20220	873d2c366c3525e4e4bcea62d2c2385aff58598569fb43fba8e00daa5750327c	f1062becdea4bace46a63549e4ccb7286d4be112cdb3085d26458304b14122c3	78e5931c7a6506b4482736344c3ae4a21c1ab743b3c3a1d1406d9d3366080468	s000022	s000024		{}
s000024	s	20221	21219	665bb97d14303ffe1e7eab62a241b1e020100fe5d4ece7a5d7fbc06e47c3db06	665bd4da45a7a5ab559b8d50f4bf41925ca76bb97b237f9160e21437b23ce315	8f5db2fec0ecde08431c7ba63bb8f34e4aae725a8e75a0a4eba78236d8846159	s000023	s000025		{}
s000025	s	21220	21989	09b522d78e94714322057f6926dbe07b3d97242ca703d331f4c6210ff2bb4a07	82f5a54763cf84d29fafea7c9a3cf2538315ccc5417eadaa2209d777f8a24b53	f5b3acfd3822c14adfd68c243d2e0120b0430c6f3789330f27b7495a0e4cb8c4	s000024	s000026		{}
s000026	s	21990	22146	d44284810c81f2c9e6d0d9994336f6477a91732588ffe916599c79b61cc33456	f8c8401b30e0d3f042e75b1aab71b4289481a6bef48fc75c4c55cae4589bc209	158ac5790e502b519c62161944e2a99a9c74d6fb816310fc48db94358c937b5f	s000025	s000027		{}
s000027	s	22147	22270	1614966514b924ecd75e503f2179dbfad5236a0559eb4f8945b55a8030fdbf68	b372475468629b955a566f68e2e1dba4ad0903d5ec6686cfbb07b3b1d2112687	c601a5b87211eadadb9d6fa02c685360df4241f4b1928a4d718b2414dc336e1a	s000026	s000028		{}
s000028	s	22271	22607	24aa49b48d1f553de8da899c38aadf2a6e4722ae96a31dec4321f5ff746e2956	2328efc83e09304590f7a68a80af8bbae7ecba824cf4d6442eb057a2b309c8ab	b788394ce5172212ad590507cf6c66c7e20dbc598a337ccc1a1f61522622662c	s000027	s000029		{}
s000029	s	22608	23200	113cfd29a45c2786b8197b19b733d6bde5ee649faaa3c10ca3c555caa169db3e	b474bac5d9839c693921a5910754801bbbca05ac8bf437e43acec93a439bb206	36dc47ea1bec2a49e87ec491c5a61d0d31a92975ddf7849c862d7b2da59c2b03	s000028	s000030		{}
s000030	s	23201	23367	c4b5e31bd7e495af04d6cd3a989da3773116638a09f58a542d0866406e2ed2ce	1fd9ec9a57bf7651a358da3ba7d130a929ddba6abec8d4d6b99b0ca985b16cfc	71e5d292d0ea9b8cfac9c0fad39ce0a637b81d94129cb565950f6f5d361b0f95	s000029	s000031		{}
s000031	s	23368	23556	cec1ad0e701790ca2cdc194e8923b15e2e282256e74caf0f75de651f4505492a	d152d2c6bd0cabacb6694857e726e48fd0a8d4b6c0812a98dd6cf102aae8645c	48c83b94db9683847e5c4d4d032a8347a28363a2933c606602fb1d6aa36e0bfe	s000030	s000032		{}
s000032	s	23557	23754	4dba84f74af9ca00606932d568b5ede1941da510fe3f897cd029f0573e1b8680	13e503f3c9aea6e414b6bb9a2c177b672cd8fd53f200df3b7a0648ef6071a116	ac8a384b7b44aadb4106a158c643e55496ace16fb09c4a4ac1570628be93053b	s000031	s000033		{}
s000033	s	23755	24725	d8130f2d4979ad9878e7f0b0f15c8479ba16456ee13b88b6373bfa7554835dfb	d152d2c6bd0cabacb6694857e726e48fd0a8d4b6c0812a98dd6cf102aae8645c	77b10641227faa8092b9930c4306a221feac750a360eab1a32200d00b4016d8a	s000032	s000034		{}
s000034	s	24726	25385	898c59a304823bfb783f5369c1db5f35f4d7310e03281afeac72782fcfdb2a47	57f0b084d835b2112aa98cc953d1ecba1323cd7c8f3dff336224e1266017dfd9	9ccf477570803bdc7a08ed976c02274eeade4811949127979e406b5a6198ff32	s000033	s000035		{}
s000035	s	25386	25659	717ff747e7fe6f464251222ec503a31822cf53cfefbb4921dac93fbbf10bb1a1	6219c71c10ec15eefebd61ff3f4b44c3c8cc147966cea25a21808643e0db6e97	b5f41a44851c8a4346cf25b1a75d077142b14dfc937d21e457e91477468770aa	s000034	s000036		{}
s000036	s	25660	26247	4d16113a78279cc17be01ebe9ae862a26b81dd7eb5b66b21bcd7a80eafb4f672	0c801e84a3e018a860ddce093db15f71c18cf3c80e4a8da5557c006b08937216	840fa79f4043c44f98aa7e77e0bae9efdd7c55a5c618b5c14e33583acc6a9d80	s000035	s000037		{}
s000037	s	26248	26593	242ac2350137f59ce4db083872f76f4438a6277ef65969658c51265895df4681	92856abe1730fe523efefa9e0110d3bde86eb77f9e56049763d53f8410e4a516	c8fd16cc0487ae9d84ef2fba1eafb54f753c6b55279209ee54d9a2fa25e9ab0b	s000036	s000038		{}
s000038	s	26594	27163	98e48ee884310c23f1eb6d93cbf7c28ec300b98c1a8ff97c7ee9a34dbd494776	eb4d2c67afdd0b3ede8d3f250092d6d528d40fc701e4e038cb82186e19c4235c	6dcf64e77dd78352ad793f70a36919a1d8202bcddb33db1748b055833d7b12a0	s000037	s000039		{}
s000039	s	27164	28105	6a3be0ed16051c9e4c4e8994c79bf8b8ff90695d46bea80187b51f1fe5b98282	4e12b41cdc89ef458a4b7dc344d12169c2866a1568fc1ec6cc9962ddad1a8862	35daeb0b5d0ec1a4b59be3356163f68be6cca6f5b174718e8bf53d0c11963221	s000038	s000040		{}
s000040	s	28106	28279	0240b6faf97cdb67fc113bb09d4c3a4611f16545bdf5e1b032eb3d7f108aa3de	dac860501670113aca56bca0229763bdc484f4c1ef19f8cdd03fcf6eb99560ed	982f349d41c5ed360bc43cc97614cc9e376b1857dd4de06494cd921e12e6aecb	s000039	s000041		{}
s000041	s	28280	28492	53c98682b1bcbd8ad1238b0edb7941b0410a371212ae31317fbfaa928b65587a	d152d2c6bd0cabacb6694857e726e48fd0a8d4b6c0812a98dd6cf102aae8645c	444e0f26ed8c618d90b75c443b70f0aedb4ba568b48958dc85bb8c65092a6454	s000040	s000042		{}
s000042	s	28493	28948	fbe639c834edeb11f8ffe4f9d47163ccab35c0b60f34cb264f30f36adcddd125	ce8b1c781d135a21917cd1d00b465497f30a62bb4bce47ee9994cc0d4747e922	8c5f387394c92b79a47664454345b17b635fec790ebebae1b4c01cd97f62f778	s000041	s000043		{}
s000043	s	28949	29432	fed149317b6a5db95c57898dbb3fd3410412999540f8615f05f735d0bc87897a	138ea156915c1ac9d08a4b9e3852a6452c42fab9d68503eb4d1823d8453b7206	fbcd0c2d961dab46efa8711a9f6ca1b7d82aafc0f434810deee0d2f692fb27e0	s000042	s000044		{}
s000044	s	29433	29811	f118638cd538d24c4ede402f69f816b89225d40a9fda806c942293adc9581520	a992c3d0b330ae11c5cb8bf6a3ef721fdf1c152cda4a7a28f1a4c466a03a9b01	c04e8fdb349b84541b07dc7dea7a6b99cacc407549263682b5b8cb990ba9a5c3	s000043	s000045		{}
s000045	s	29812	29955	9b9a9955f83bbfeb66dbc340b4b502752e6a513af1c3800341e6143544610d24	757fe04da9dc1d9880bb325630848808c0fe41964f8bec5bcb87f360437778e6	f46797e24eb4988b911fe6c54bb9c83885e1dfc2253d998611cb30fad2337e72	s000044	s000046		{}
s000046	s	29956	30026	f596c1ccdc40ae2cd3cb747c5fd87077f40ae9a7ff76f2da2eaf36c8ae14a8b9	2f02b023e21d01ed4210ec27daca23dde895ce2bce46cb7971a9b1ffca76480d	a01bec9b33a7a0f41a66e41aa2e55511a471140e83e862bf7b1547f08a87e354	s000045	s000047		{}
