anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	172618	94f669164bdd1658cd8d703b8de43213e5152cc6d563827fb4c1cc1424319aec	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		s000001		{}
s000001	s	0	1210	6f51d72941a0386ab22e2a00a93b72b0f3e1c80edc3a9cbef37963edef7246f4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	822386f90d043700afe8d4f42e802291a0ecdbd99f53a3aaa1ee98c95a73b49a	p000001	s000002		{}
s000002	d	1211	2334	959a755c98aa405da33573756139c403ee87dfaa50dd9e4358de1a3ccee1bd7a	7bac6a2344341fba963033ed3e03142d8702bbd763a09ea299a4fbe2de92c15d	a77a17cb0a9e7a7f4ff70df2b805cf7cf8e7e7e414dfbc8565508ba2da88c451	s000001	s000003		{}
s000003	d	2335	2370	a33d91c6129677829283edce43b6aea3e478b2b36595b5f30c5deec0a08769f2	9816dc2c8577d1591eaa30484313e1b35f3f88d29fa9c5c79c8741f37b8725b6	a41bdf5aaf612fbad912de755205bdda7b56a5b8b93fd7b39c5e0180af4e5dfe	s000002	s000004		{}
s000004	s	2371	2890	9eb2ab992e5f94820e0000b38a045c5727c351b674803458baf84a2021c357e6	a9b43cdf4230c320b233ce604994d7aaa3a00da5b3fce62b4e13bfe7398c9e77	00d0819ec1b47e3db764d5e0c5f7177c7cf67ddd3bd95b85b8751f9e1e3e3ba2	s000003	s000005		{}
s000005	d	2891	3018	c3ec00ed5dbc72e8ceb44dd022dd7db4715a91435a9ae016c8e15dc38a917e58	1af4366cb9a7a0b9157c83cdb4d3633df45fb197e868b1dc5cc157af1cfbe444	6f14b56543cab00a8b1ed16e3ba915465c81910b3474094cb1df62d66158f333	s000004	s000006		{}
s000006	s	3019	3540	b730502e1c71cbe36b9989f0fa3e4ff4a634722144c2f5f207fb3bbaaabac9af	c56c7bf9a5b196f9f786bb0ae466479ca6ca14ab0c314daeba31b9c2fb849cf0	eeeb8c41e687336ea9d32b59284a49e8d16ec1c0e0c219c1af41a20e66fecf19	s000005	s000007		{}
s000007	s	3541	4114	0312fbe0dd95668d010dc79c9c3098c89a7379e74b5526d5dc3e080bc07875ce	ed5629e453f94e669a0a10fa0efa4766b78fd86ca14231a3c3e8792f84cd26af	34397e11ed45a50128f3ad83c9aee3fcbd053af7ecf7cd4c1ba832fce5458851	s000006	s000008		{}
s000008	s	4115	5563	9f89b32a4055e537d1ab6a8a178776a716a19736164469d7f987c20ee1b1064a	ebd18bf1d893cd3799739aef8741788afd7b336e942484e027893ebfac5c7894	c49d192939864ec1479188e25874013150f0f3bd7c56f163c34a1f4aee323d04	s000007	s000009		{}
s000009	s	5564	5840	393c9ac772cb68b349bee88c3290330ff84f92a0f31c12e37d48fc0f9c6f0313	ed5629e453f94e669a0a10fa0efa4766b78fd86ca14231a3c3e8792f84cd26af	6d0fc29eaab17410dbe33903746f3aa58d23f5432c2aad99003e4cea4c3d8f1d	s000008	s000010		{}
s000010	s	5841	7426	dfb3cf29b5e46a880e03551f37f5b907953abd25394e403c1b0623397e5e7a9a	ac28813a07cde24be2a16c0b7426168a3cd38900a359e52f134d9a57e930f0c9	5de99c69ecc471551460475e7294f2690cf08b310a3324f1d7cf8870fa9ef294	s000009	s000011		{}
s000011	d	7427	7829	00c23ae3e8bbd0fc43101f8fd8ed399851d9d3bd5b8eda8705883db5d89d59d4	417a297550e50899a4011c3f3a38e7b669c5eca493d64ebc1911b09b6d831837	d765986dd9c172c154f2853266d140862079b4e445211b084b32dc17a3df52df	s000010	s000012		{}
s000012	s	7830	8047	d8143abcbbb4f3fc0ecee7a842b4c80fc4f3533f0334b88b893b680c198b651f	12fa29ac439e3c0fce7eaddcdfbc391020b25c7a2c916e9a9b73091d881aab60	244074307ca16e98f93284096d262fe3d31b3351acee76749cf7cc6a2ed93062	s000011	s000013		{}
s000013	s	8048	8149	eae7676285c5a5602f6125f46e9265f383cfb296cb39e6823141778f758492fc	da7092f09ecf53e350693a2a74458dad4cfae227c002d595809a8f6ef42e9c25	0f5193ab359b1d43b118724e5c566518cd513abc56ba223fd484085b8c4ef4a6	s000012	s000014		{}
s000014	s	8150	8229	c3b84bc7a81caddcaf0ad3a5d62689e412deaec3a2104f8dae8814bbc15c38bd	877e45e7577225c57147718a219b7065467fbfa4ab5dbeadfb0cac0500e7798c	8ed16ca0f6f75635fa6dcad0436affae139536d80ddd18f325622094fba6b95f	s000013	s000015		{}
