anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	176043	bb728626f19117b54243a25c9a428d4cc05d2ca3b155e80a7cffdfeae0cdd98f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		s000001		{}
s000001	s	0	2129	7543900d031108e6367f0f02da9d3bda42a772779787ff7e0a52a3e6333d0e3f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8340481631910744ef311b2364e3db609f548167996ac05344fef449203aa64b	p000001	s000002		{}
s000002	s	2130	2244	04ed87204d9924289a6fe846ea940159fea8d9e4d109f9104442ca03a312b01d	11bded0d4ffbf9a602c9041bcfce1ae72e8646755522601ac3b247cd440dde49	e041e56d2ed81a735f2a63a3b700f062567d5c5dbbd4c033a6f2ec80d0a789c9	s000001	s000003		{}
s000003	s	2245	2321	110e1ee1374114139997bf50537d9a1766ed22ede8cd272e70a34ed23af57cfa	70baf04314cab9460d1711be812949f96a607f35508464ae1b077ccec4d1c1b0	a5b2ea45ba07bc6e32f4b9ddb488b22e4a4b2dddfc0b09f0fa044c4f62e07e9f	s000002	s000004		{}
s000004	s	2322	2870	38764f4e78c3a46a68af01bdba9c3085d2e5df0c63f9cfd1a8f54a009af62091	10dfa00d93a535774775f2e9a60075fc16bf1f53c73954cb41151c1e88a4e145	8366381570f0994e4e12a111a9ba8a047191cffc8928010f98bbe8eb3c0ed982	s000003	s000005		{}
s000005	s	2871	2960	a99337ed453ff223c8b5fde8fece391ceff3341db121a7386b0f9e34af1d1fe2	73ce934db9cd7e20769763bb4ec3fc1f8352d0545534852f03f9e774ad976fe1	0a89f644495b3fddaaa0e3ddb66b0d24740e2f1bbebdd04fe7ff77656e16fcdd	s000004	s000006		{}
s000006	s	2961	3143	b4c905daad9dc861e9e8191865540739e8627fb70f02e3345534506952ebb49c	0a2a33f479267ed3089872f24a1bccd0a620560664c1af29f61511df1605df8a	719414908f589cb314f75c0c960251cf17d1744f0a170a53a6e8d735cdb45339	s000005	s000007		{}
s000007	s	3144	3282	cacccf6e7f8f6b390d9cd41ae4f3740edd7738912d2b805fb6b5744aaeedb580	dd23925d6b577f4aa35013f7d0ea3f6a0af76dbb655f1ce3950cbfef2dd5eee5	1f20a98e3cf982c5cf58d8b6e795a9ec35c0b832854a6594dfa252d2abb3485e	s000006	s000008		{}
s000008	s	3283	3403	6ca7b5351d25c42a1413636c5d563245334d1c2e3ac0950264d3f044ec75d497	de329d9458c54e26c1e0093660c28b8b5bfe2a76ff303d0e50543e5ce4257bbc	e3118ecd933695be74e0facf0964bc979cc52c01ab4bbc817cfa5a6d082a0fd8	s000007	s000009		{}
s000009	s	3404	4809	1ce12f770a78d01cc45fb4f6d7b4148f83a429d9c59302192b2766d1d9552b85	a829a27c62e87034164d8dcbef73cb46078145da4817cd9d52cbb036de6444ef	6c68ab360a4a3e543c9307ceb5c4dae3f5705d85e2c4396b958ad5894355d322	s000008	s000010		{}
s000010	s	4809	6745	54dcf3e8611f22f3fa33e7ee6c045902a4569af650b27f764004b1f6b0cc9c68	4c78c2a2bc4e99dac47fde8bf6d7c5fd2709c99d41bd073443f26a3f08b29cc8	64104e6309a69192ba18ea2b0e6a1db74ad03ab43a23972b5636a2c0b149c224	s000009	s000011		{}
s000011	s	6746	6868	1913fe0228fc1b95ae232d6cb37fdf56fc4b6a0909037c45463d82180ef8472d	a84d9ccce663cadc3f286601537fc1906a7323068a718f8f9c39fd537079a405	772b16f06e205bbcffccdfd5306c6f52ad499afb389f2b05cf86486791272597	s000010	s000012		{}
s000012	s	6869	7047	5812ed85fd13abc464d3a787a8a3a5fd709204f80442ceb82a5cfa629d178490	694789f9c39f8cf08c6949aa776d4f2f6de7a9c8385b6e05c1a186984edc416c	d45f770ce80b0e7c9278c5149591e560913e9513af15c1019ec3f26cffdcbcf6	s000011	s000013		{}
s000013	s	7048	7493	d3b173870ba8d7b4fe1a1a45d93d3337e7a57ece2a51ce974f6c8ee38110636b	6d674e7cec54d9b766197ebdca26ac2964c89305902c13d4303dd1bc0b173360	e184335a768a262166bde778401409a9c471e20f0f4e13efbb6a6f9e48ba64c7	s000012	s000014		{}
s000014	s	7493	7640	b0944bd6fdb8ccc2219493980b929618cf852d5edab8ac4fb6927297274ecf97	84c6806c327c59905f17c7d24cdcb7ba1ee2a7ecea9489f7de8536226a207cb2	96aedda4915c403fef88abfa606d5235f51c759a1999e0eae032b8c6e29a4a48	s000013	s000015		{}
s000015	s	7640	7770	f95557251ad830fbb0496b819892bb879b8dada49bd93ad149aad51705b8ca62	b83b8cd9cdb3ae53c8d98940f942a8e064048937b807c04c8856dc4a931e6b7b	f00d962c580aa936c4161ad2962315486d8a80bea14f2f7b37a96a3654172bcb	s000014	s000016		{}
s000016	s	7770	7793	b583e381e792b27d284c27498ea1e9e6b7ddf73c242a5301c4a973afa77ec938	69f89dc3cd93c9367ddbcf08f112006e3855b453a1258d68e24a3a225cc8cbc1	499a8c569ba7545f126523329fceddf69063b58ab42da5a92711a72df332406e	s000015	s000017		{}
s000017	s	7793	7817	4330c9bb2a780aec5ce65addeb802b819abaad354296c2fb9624f3e21dab41ec	d474e67566b03a341cc6b29824566f8c97d97de5de43503e709bcbd0ba5e5db5	3b816782568e83b1d61d2144ca7619f5d715daefeb66fe926de3e576d13b60e9	s000016	s000018		{}
s000018	s	7817	7941	9a2d01b1b5b94b4cbba524c1d43ad15f0d83b4aaf8aeb3c562cc414e3649e2e1	4e9d061343dba89b91d8658b70c529e256195b9245c98849230c495b18129c0d	3157d8e0c6d41decacd6b387e8791efe6090d4429765c9ec3db605205d319b2c	s000017	s000019		{}
